count;word;hiragana;meaning;jlpt level
101;凡ゆる;あらゆる;all, every;1
102;none;あられ;kind of cookie, cartoon character;1
103;現われ;あらわれ;embodiment, materialization;1
104;現われる;あらわれる;to appear, to come in sight, to become visible, to come out, to embody, to materialize, to express oneself;1
105;有難う;ありがとう;Thank you;1
106;有様;ありさま;state, condition, circumstances, the way things are or should be, truth;1
107;有りのまま;ありのまま;the truth, fact, as it is, frankly;1
108;或る;ある;a certain..., some...;1
109;或いは;あるいは;or, possibly;1
110;彼此;あれこれ;one thing or another, this and that, this or that;1
111;合わす;あわす;to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to;1
112;合わせ;あわせ;joint together, opposite, facing;1
113;慌ただしい;あわただしい;busy, hurried, confused, flurried;1
114;慌てる;あわてる;to become confused (disconcerted  disorganized);1
115;暗殺;あんさつ;assassination;1
116;暗算;あんざん;mental arithmetic;1
117;暗示;あんじ;hint, suggestion;1
118;案じる;あんじる;to be anxious, to ponder;1
119;安静;あんせい;rest;1
120;案の定;あんのじょう;sure enough, as usual;1
121;余り;あんまり;not very (this form only used as adverb), not much, remainder, rest, remnant, surplus, balance, excess, rema;1
122;依;い;depending on;1
123;良い;いい;good;1
124;伊井;いい;that one, Italy;1
125;否;いいえ;no, nay, yes, well;1
126;いい加減;いいかげん;moderate, right, random, not thorough, vague, irresponsible, halfhearted;1
127;言い訳;いいわけ;excuse, explanation;1
128;家出;いえで;running away from home, leaving home;1
129;家主;いえぬし;landlord;1
130;如何;いかが;how, in what way;1
131;生かす;いかす;to revive, to resuscitate, to make use of;1
132;雷;いかずち;thunder;1
133;如何に;いかに;how?, in what way?, how much?, however, whatever;1
134;如何にも;いかにも;indeed, really, phrase meaning agreement;1
135;怒り;いかり;anger, hatred;1
136;怒る;いかる;to get angry, to be angry;1
137;歪む;いがむ;to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perv;1
138;粋;いき;chic, style, purity, essence;1
139;域外;いきがい;outside the area;1
140;意気込む;いきごむ;to be enthusiastic about;1
141;経緯;いきさつ;1.  details, whole story, sequence of events, particulars, how it started, how things got this way,  2.  c;1
142;行き違い;いきちがい;misunderstanding, estrangement, disagreement, crossing without meeting, going astray;1
143;行き成り;いきなり;suddenly;1
144;異議;いぎ;objection, dissent, protest;1
145;none;いく;to come, to orgasm;1
146;軍;いくさ;war, battle, campaign, fight;1
147;戦;いくさ;war, battle, campaign, fight;1
148;育成;いくせい;rearing, training, nurture, cultivation, promotion;1
149;幾多;いくた;many, numerous;1
150;活ける;いける;to arrange (flowers);1
151;異見;いけん;different opinion, objection;1
152;意向;いこう;intention, idea, inclination;1
153;移行;いこう;switching over to;1
154;none;いざ;now, come (now), well, crucial moment;1
155;碑;いしぶみ;stone monument bearing an inscription;1
156;衣装;いしょう;clothing, costume, outfit, garment, dress;1
157;意地;いじ;disposition, spirit, willpower, obstinacy, backbone, appetite;1
158;苛める;いじめる;to tease, to torment, to persecute, to chastise;1
159;移住;いじゅう;migration, immigration;1
160;弄る;いじる;to touch, to tamper with;1
161;何れ;いずれ;where, which, who, anyway, anyhow, at any rate;1
162;異性;いせい;the opposite sex;1
163;遺跡;いせき;historic ruins (remains  relics);1
164;依然;いぜん;still, as yet;1
165;依存;いそん;dependence, dependent, reliance;1
166;委託;いたく;consign (goods (for sale) to a firm), entrust (person with something), commit;1
167;悪戯;いたずら;tease, prank, trick, practical joke, mischief;1
168;頂;いただき;(top of) head, summit, spire;1
169;戴きます;いただきます;expression of gratitude before meals;1
170;至って;いたって;very much, exceedingly, extremely;1
171;痛む;いたむ;to hurt, to feel a pain, to be injured;1
172;痛める;いためる;to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over;1
173;炒める;いためる;to stir-fry;1
174;労る;いたわる;to pity, to sympathize with, to console, to care for, to be kind to;1
175;市;いち;market, fair;1
176;位地;いち;place, situation, position, location;1
177;一々;いちいち;one by one, separately;1
178;一概に;いちがいに;unconditionally, as a rule;1
179;一見;いちげん;unfamiliar, never before met;1
180;一言;いちげん;single word;1
181;一日;いちじつ;(1) one day, (2) first of month;1
182;一定;いちじょう;fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed;1
183;著しい;いちじるしい;remarkable, considerable;1
184;一同;いちどう;all present, all concerned, all of us;1
185;一人;いちにん;one person;1
186;一部;いちぶ;1.  one copy  e.g. of a document,  2.  a part, partly, some;1
187;一部分;いちぶぶん;a part;1
188;一別;いちべつ;parting;1
189;一面;いちめん;one side, one phase, front page, the other hand, the whole surface;1
190;一目;いちもく;a glance, a look, a glimpse;1
191;一様;いちよう;uniformity, evenness, similarity, equality, impartiality;1
192;一律;いちりつ;evenness, uniformity, monotony, equality;1
193;一連;いちれん;a series, a chain, a ream (of paper);1
194;一括;いっかつ;all together, batch, one lump, one bundle, summing up;1
195;一気;いっき;drink!(said repeatedly as a party cheer);1
196;一挙に;いっきょに;at a stroke, with a single swoop;1
197;一切;いっさい;all, everything, without exception, the whole, entirely, absolutely;1
198;一心;いっしん;one mind, wholeheartedness, the whole heart;1
199;none;いっそ;rather, sooner, might as well;1
200;一帯;いったい;a region, a zone, the whole place;1
201;一敗;いっぱい;one defeat;1
202;一変;いっぺん;complete change, about-face;1
203;何時;いつ;when, how soon;1
204;何時か;いつか;sometime, someday, one day, some time or other, the other day, in due course, in time;1
205;何時でも;いつでも;(at) any time, always, at all times, never (neg), whenever;1
206;何時の間にか;いつのまにか;before one knows, unnoticed, unawares;1
207;何時までも;いつまでも;forever, for good, eternally, as long as one likes, indefinitely;1
208;何時も;いつも;always, usually, every time, never (with neg. verb);1
209;意図;いと;intention, aim, design;1
210;営む;いとなむ;to carry on (e.g. in ceremony), to run a business;1
211;暇;いとま;free time, leisure, leave, spare time, farewell;1
212;異動;いどう;a change;1
213;挑む;いどむ;to challenge, to contend for, to make love to;1
214;稲光;いなびかり;(flash of) lightning;1
215;古;いにしえ;antiquity, ancient times;1
216;祈り;いのり;prayer, supplication;1
217;鼾;いびき;snoring;1
218;今更;いまさら;now, at this late hour;1
219;未だ;いまだ;as yet, hitherto, not yet (neg);1
220;移民;いみん;emigration, immigration, emigrant, immigrant;1
221;厭々;いやいや;unwillingly, grudgingly, shaking head in refusal (to children);1
222;卑しい;いやしい;greedy, vulgar, shabby, humble, base, mean, vile;1
223;none;いやに;awfully, terribly;1
224;厭やらしい;いやらしい;detestable, disagreeable;1
225;愈々;いよいよ;more and more, all the more, increasingly, at last, beyond doubt;1
226;意欲;いよく;will, desire, ambition;1
227;苛々;いらいら;getting nervous, irritation;1
228;入口;いりくち;entrance, gate, approach, mouth;1
229;衣料;いりょう;clothing;1
230;威力;いりょく;power, might, authority, influence;1
231;入る;いる;to get in, to go in, to come in, to flow into, to set, to set in;1
232;衣類;いるい;clothes, clothing, garments;1
233;色々;いろいろ;various;1
234;異論;いろん;different opinion, objection;1
235;所謂;いわゆる;the so-called, so to speak;1
236;印;いん;seal, stamp, mark, print;1
237;員;いん;member;1
238;印鑑;いんかん;stamp, seal;1
239;陰気;いんき;gloom, melancholy;1
240;隠居;いんきょ;retirement, retired person;1
241;上下;うえした;high and low, up and down, unloading and loading, praising and blaming;1
242;浮かぶ;うかぶ;to float, to rise to surface, to come to mind;1
243;受かる;うかる;to pass (examination);1
244;含嗽;うがい;gargle, rinse mouth;1
245;受け入れ;うけいれ;receiving, acceptance;1
246;受け入れる;うけいれる;to accept, to receive;1
247;受け継ぐ;うけつぐ;to inherit, to succeed, to take over;1
248;受け付ける;うけつける;to be accepted, to receive (an application);1
249;受け止める;うけとめる;to catch, to stop the blow, to react to, to take;1
250;受け取り;うけとり;receipt;1
251;受身;うけみ;passive, passive voice;1
252;動き;うごき;movement, activity, trend, development, change;1
253;潮;うしお;tide;1
254;氏;うじ;family name;1
255;渦;うず;swirl;1
256;埋まる;うずまる;to be buried, to be surrounded, to overflow, to be filled;1
257;嘘つき;うそつき;liar (sometimes said with not much seriousness), fibber;1
258;打ち合わせ;うちあわせ;business meeting, previous arrangement, appointment;1
259;打ち合わせる;うちあわせる;to knock together, to arrange;1
260;打ち切る;うちきる;to stop, to abort, to discontinue, to close;1
261;打ち消し;うちけし;negation, denial, negative;1
262;打ち込む;うちこむ;to drive in (e.g. nail  stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int;1
263;団扇;うちわ;fan;1
264;内訳;うちわけ;the items, breakdown, classification;1
265;訴え;うったえ;lawsuit, complaint;1
266;鬱陶しい;うっとうしい;gloomy, depressing;1
267;写し;うつし;copy, duplicate, facsimile, transcript;1
268;空ろ;うつろ;blank, cavity, hollow, empty (space);1
269;器;うつわ;bowl, vessel, container;1
270;雨天;うてん;rainy weather;1
271;腕前;うでまえ;ability, skill, facility;1
272;饂飩;うどん;noodles (Japanese);1
273;促す;うながす;to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to);1
274;唸る;うなる;to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough;1
275;自惚れ;うぬぼれ;pretension, conceit, hubris;1
276;甘い;うまい;delicious;1
277;生まれつき;うまれつき;by nature, by birth, native;1
278;海路;うみじ;sea route;1
279;産む;うむ;to give birth, to deliver, to produce;1
280;埋め込む;うめこむ;to bury;1
281;梅干;うめぼし;dried plum;1
282;末;うら;top end, tip;1
283;裏返し;うらがえし;inside out, upside down;1
284;売り出し;うりだし;(bargain) sale;1
285;売り出す;うりだす;to put on sale, to market, to become popular;1
286;潤う;うるおう;to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t;1
287;五月蝿い;うるさい;noisy, loud, fussy;1
288;売れ行き;うれゆき;sales;1
289;浮気;うわき;flighty, fickle, wanton, unfaithful;1
290;上手;うわて;1.  upper part, upper stream, left side (of a stage),  2.  skillful (only in comparisons), dexterity (on;1
291;上回る;うわまわる;to exceed;1
292;植わる;うわる;to be planted;1
293;運営;うんえい;management, administration, operation;1
294;none;うんざり;tedious, boring, being fed up with;1
295;運送;うんそう;shipping, marine transportation;1
296;運賃;うんちん;freight rates, shipping expenses, fare;1
297;云々;うんぬん;and so on, and so forth, comment;1
298;運搬;うんぱん;transport, carriage;1
299;運命;うんめい;fate;1
300;運輸;うんゆ;transportation;1
301;運用;うんよう;making use of, application, investment, practical use;1
302;会;え;understanding;1
303;重;え;-fold, -ply;1
304;none;えい;ray (fish);1
305;映写;えいしゃ;projection;1
306;英字;えいじ;English letter (character);1
307;衛生;えいせい;health, hygiene, sanitation, medical;1
308;映像;えいぞう;reflection, image;1
309;英雄;えいゆう;hero, great man;1
310;液;えき;liquid, fluid;1
311;役;えき;war, campaign, battle;1
312;閲覧;えつらん;inspection, reading;1
313;獲物;えもの;game, spoils, trophy;1
314;襟;えり;neck, collar, lapel, neckband;1
315;縁;えん;chance, fate, destiny, relation, bonds, connection, karma;1
316;塩;えん;salt;1
317;艶;えん;charming, fascinating, voluptuous;1
318;園;えん;garden (esp. man-made);1
319;円滑;えんかつ;harmony, smoothness;1
320;縁側;えんがわ;veranda, porch, balcony, open corridor;1
321;沿岸;えんがん;coast, shore;1
322;婉曲;えんきょく;euphemistic, circumlocution, roundabout, indirect, insinuating;1
323;演習;えんしゅう;practice, exercises, manoeuvers;1
324;演出;えんしゅつ;production (e.g. play), direction;1
325;演じる;えんじる;to perform (a play), to play (a part), to act (a part), to commit (a blunder);1
326;演ずる;えんずる;to perform, to play;1
327;沿線;えんせん;along railway line;1
328;縁談;えんだん;marriage proposal, engagement;1
329;遠方;えんぽう;long way, distant place;1
330;円満;えんまん;perfection, harmony, peace, smoothness, completeness, satisfaction, integrity;1
331;尾;お;tail, ridge;1
332;於;お;at, in, on;1
333;甥;おい;nephew;1
334;追い込む;おいこむ;to herd, to corner, to drive;1
335;美味しい;おいしい;delicious, tasty;1
336;追い出す;おいだす;to expel, to drive out;1
337;於いて;おいて;at, in, on;1
338;お出でになる;おいでになる;to be;1
339;老いる;おいる;to age, to grow old;1
340;負う;おう;to bear, to owe;1
341;応急;おうきゅう;emergency;1
342;黄金;おうごん;gold;1
343;黄色;おうしょく;yellow;1
344;応募;おうぼ;subscription, application;1
345;none;おおい;hey!;1
346;大方;おおかた;perhaps, almost all, majority;1
347;大柄;おおがら;large build, large pattern;1
348;大げさ;おおげさ;grandiose, exaggerated;1
349;大事;おおごと;important, valuable, serious matter;1
350;大ざっぱ;おおざっぱ;rough (as in not precise), broad, sketchy;1
351;大筋;おおすじ;outline, summary;1
352;大空;おおぞら;heaven, firmament, the sky;1
353;大幅;おおはば;full width, large scale, drastic;1
354;大水;おおみず;flood;1
355;公;おおやけ;official, public, formal, open, governmental;1
356;お蔭;おかげ;(your) backing, assistance;1
357;お蔭様で;おかげさまで;Thanks to god, thanks to you;1
358;可笑しい;おかしい;strange, funny, amusing, ridiculous;1
359;犯す;おかす;to commit, to perpetrate, to violate, to rape;1
360;侵す;おかす;to invade, to raid, to trespass, to violate, to intrude on;1
361;お菜;おかず;side dish, accompaniment for rice dishes;1
362;臆病;おくびょう;cowardice, timidity;1
363;遅らす;おくらす;to retard, to delay;1
364;遅れ;おくれ;delay, lag;1
365;起こす;おこす;to raise, to cause, to wake someone;1
366;行い;おこない;deed, conduct, behavior, action, asceticism;1
367;厳か;おごそか;austere, majestic, dignified, stately, awful, impressive;1
368;傲る;おごる;to be proud;1
369;長;おさ;chief, head;1
370;押さえる;おさえる;to stop, to restrain, to seize, to repress, to suppress, to press down;1
371;お先に;おさきに;before, ahead, previously;1
372;収まる;おさまる;to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered;1
373;納まる;おさまる;to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered;1
374;治まる;おさまる;to be at peace, to clamp down, to lessen (storm  terror  anger);1
375;お産;おさん;(giving) birth;1
376;教え;おしえ;teachings, precept, lesson, doctrine;1
377;押し込む;おしこむ;to push into, to crowd into;1
378;惜しむ;おしむ;to be frugal, to value, to regret;1
379;お喋り;おしゃべり;chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth;1
380;お洒落;おしゃれ;smartly dressed, someone smartly dressed, fashion-conscious;1
381;押し寄せる;おしよせる;to push aside, to advance on;1
382;お祖父さん;おじいさん;grandfather, male senior-citizen;1
383;お邪魔します;おじゃまします;Excuse me for disturbing (interrupting) you;1
384;雄;おす;male (animal);1
385;お世辞;おせじ;flattery, compliment;1
386;襲う;おそう;to attack;1
387;遅くとも;おそくとも;at the latest;1
388;恐らく;おそらく;perhaps;1
389;恐れ;おそれ;fear, horror;1
390;恐れ入る;おそれいる;to be filled with awe, to feel small, to be amazed, to be surprised, to be disconcerted, to be sorry, to b;1
391;お大事に;おだいじに;Take care of yourself;1
392;煽てる;おだてる;to stir up, to instigate, to flatter;1
393;落ち込む;おちこむ;to fall into, to feel down (sad);1
394;落ち着き;おちつき;calm, composure;1
395;落ち葉;おちば;fallen leaves, leaf litter, defoliation, shedding leaves;1
396;落ちる;おちる;to fail (e.g. exam), to fall down, to drop;1
397;none;おっかない;frightening, huge;1
398;仰っしゃる;おっしゃる;to say, to speak, to tell, to talk;1
399;乙;おつ;1.  strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic,  2.  2nd in rank, second sign of the;1
400;お使い;おつかい;errand;1
401;お手上げ;おてあげ;all over, given in, given up hope, bring to knees;1
402;御手洗い;おてあらい;toilet, restroom, lavatory, bathroom (US);1
403;弟;おと;younger brother;1
404;落とす;おとす;to drop, to lose, to let fall;1
405;訪れる;おとずれる;to visit;1
406;大人しい;おとなしい;obedient, docile, quiet;1
407;少女;おとめ;daughter, young lady, virgin, maiden, little girl;1
408;お供;おとも;attendant, companion;1
409;衰える;おとろえる;to become weak, to decline, to wear, to abate, to decay, to wither, to waste away;1
410;none;おどおど;coweringly, hesitantly;1
411;脅かす;おどかす;to threaten, to coerce;1
412;脅す;おどす;to threaten, to menace;1
413;驚き;おどろき;surprise, astonishment, wonder;1
414;同い年;おないどし;of the same age;1
415;女子;おなご;woman, girl;1
416;お願いします;おねがいします;please;1
417;各;おのおの;each, every, either, respectively, severally;1
418;自ずから;おのずから;naturally, as a matter of course;1
419;お早う;おはよう;Good morning;1
420;お祖母さん;おばあさん;grandmother, female senior-citizen;1
421;怯える;おびえる;to become frightened, to have a nightmare;1
422;夥しい;おびただしい;abundantly, innumerably;1
423;帯びる;おびる;to wear, to carry, to be entrusted, to have, to take on, to have a trace of, to be tinged with;1
424;覚え;おぼえ;memory, sense, experience;1
425;御負け;おまけ;1.  a discount, a prize,  2.  something additional, bonus, an extra,  3.  an exaggeration;1
426;お巡りさん;おまわりさん;policeman (friendly term);1
427;お宮;おみや;Shinto shrine;1
428;お襁褓;おむつ;diaper, nappy;1
429;お目出度う;おめでとう;(ateji) (int) (uk) Congratulations!, an auspicious occasion!;1
430;面;おも;face;1
431;思い付き;おもいつき;plan, idea, suggestion;1
432;面白い;おもしろい;interesting, amusing;1
433;玩具;おもちゃ;toy;1
434;重なる;おもなる;main, principal, important;1
435;趣;おもむき;meaning, tenor, gist, effect, appearance, taste, grace, charm, refinement;1
436;赴く;おもむく;to go, to proceed, to repair to, to become;1
437;重役;おもやく;heavy responsibilities, director;1
438;重んじる;おもんじる;to respect, to honor, to esteem, to prize;1
439;重んずる;おもんずる;to honor, to respect, to esteem, to prize;1
440;お休み;おやすみ;holiday, absence, rest, Good night;1
441;お八;おやつ;1.  (uk) between meal snack, afternoon refreshment, afternoon tea,  2.  mid-day snack;1
442;凡そ;およそ;about, roughly, as a rule, approximately;1
443;及び;および;and, as well as;1
444;及ぶ;およぶ;to reach, to come up to, to amount to, to befall, to happen to, to extend, to match, to equal;1
445;織;おり;weave, weaving, woven item;1
446;檻;おり;cage, pen, jail cell;1
447;折り返す;おりかえす;to turn up, to fold back;1
448;織物;おりもの;textile, fabric;1
449;織る;おる;to weave;1
450;俺;おれ;I (ego) (boastful first-person pronoun);1
451;愚か;おろか;foolish, stupid;1
452;疎か;おろそか;neglect, negligence, carelessness;1
453;終わる;おわる;to finish, to close;1
454;音色;おんいろ;tone color, tone quality, timbre, synthesizer patch;1
455;温和;おんわ;gentle, mild, moderate;1
456;仮;か;tentative, provisional;1
457;科;か;department, section;1
458;個;か;article counter;1
459;下位;かい;low rank, subordinate, lower order (e.g. byte);1
460;階;かい;-floor (counter), stories;1
461;改悪;かいあく;deterioration, changing for the worse;1
462;海運;かいうん;maritime, marine transportation;1
463;改革;かいかく;reform, reformation, innovation;1
464;貝殻;かいがら;shell;1
465;階級;かいきゅう;class, rank, grade;1
466;海峡;かいきょう;channel;1
467;会見;かいけん;interview, audience;1
468;介護;かいご;nursing;1
469;開催;かいさい;holding a meeting, open an exhibition;1
470;回収;かいしゅう;collection, recovery;1
471;改修;かいしゅう;repair, improvement;1
472;怪獣;かいじゅう;monster;1
473;解除;かいじょ;cancellation, rescinding, release, calling off;1
474;回送;かいそう;forwarding;1
475;階層;かいそう;class, level, stratum, hierarchy;1
476;開拓;かいたく;reclamation (of wasteland), cultivation, pioneer;1
477;会談;かいだん;conversation, conference, discussion, interview;1
478;改定;かいてい;reform;1
479;改訂;かいてい;revision;1
480;街道;かいどう;highway;1
481;介入;かいにゅう;intervention;1
482;開発;かいはつ;development, exploitation;1
483;海抜;かいばつ;height above sea level;1
484;介抱;かいほう;nursing, looking after;1
485;解剖;かいぼう;dissection, autopsy;1
486;回覧;かいらん;circulation;1
487;海流;かいりゅう;ocean current;1
488;改良;かいりょう;improvement, reform;1
489;回路;かいろ;circuit (electric);1
490;顧みる;かえりみる;to look back, to turn around, to review;1
491;省みる;かえりみる;to reflect;1
492;返る;かえる;to return, to come back, to go back;1
493;顔付き;かおつき;(outward) looks, features, face, countenance, expression;1
494;掲げる;かかげる;to publish, to print, to carry (an article), to put up, to hang out, to hoist, to fly (a sail), to float (a;1
495;踵;かかと;(shoe) heel;1
496;係り;かかり;official, duty, person in charge;1
497;課外;かがい;extracurricular;1
498;書き取り;かきとり;dictation;1
499;書き取る;かきとる;to write down, to take dictation, to take notes;1
500;掻き回す;かきまわす;to stir up, to churn, to ransack, to disturb;1
501;欠く;かく;to lack, to break, to crack, to chip;1
502;角;かく;1.  angle,  2.  bishop (shogi);1
503;核;かく;nucleus, kernel;1
504;格;かく;status, character, case;1
505;佳句;かく;beautiful passage of literature;1
506;画;かく;stroke;1
507;格差;かくさ;qualitative difference, disparity;1
508;拡散;かくさん;scattering, diffusion;1
509;各種;かくしゅ;every kind, all sorts;1
510;隔週;かくしゅう;every other week;1
511;確信;かくしん;conviction, confidence;1
512;革新;かくしん;reform, innovation;1
513;確定;かくてい;definition (math), decision, settlement;1
514;獲得;かくとく;acquisition, possession;1
515;確保;かくほ;guarantee, ensure, maintain, insure, secure;1
516;革命;かくめい;revolution;1
517;確立;かくりつ;establishment;1
518;賭け;かけ;betting, gambling, a gamble;1
519;掛け;かけ;credit;1
520;駆け足;かけあし;running fast, double time;1
521;家計;かけい;household economy, family finances;1
522;駆けっこ;かけっこ;(foot) race;1
523;駆ける;かける;to run (race  esp. horse), to gallop, to canter;1
524;賭ける;かける;to wager, to bet, to risk, to stake, to gamble;1
525;ヶ月;かげつ;#NAME?;1
526;加工;かこう;manufacturing, processing, treatment;1
527;化合;かごう;chemical combination;1
528;嵩張る;かさばる;to be bulky, to be unwieldy, to grow voluminous;1
529;嵩む;かさむ;to pile up, to increase;1
530;風車;かざぐるま;1.  windmill,  2.  pinwheel;1
531;畏まりました;かしこまりました;certainly!;1
532;華奢;かしゃ;luxury, pomp, delicate, slender, gorgeous;1
533;箇所;かしょ;passage, place, point, part;1
534;火傷;かしょう;burn, scald;1
535;箇条書き;かじょうがき;itemized form, itemization;1
536;噛る;かじる;to chew, to bite (at), to gnaw, to nibble, to munch, to crunch, to have a smattering of;1
537;微か;かすか;faint, dim, weak, indistinct, hazy, poor, wretched;1
538;霞む;かすむ;to grow hazy, to be misty;1
539;化する;かする;to change into, to convert into, to transform, to be reduced, to influence, to improve (someone);1
540;擦る;かする;to touch lightly, to take a percentage (from);1
541;火星;かせい;Mars (planet);1
542;化石;かせき;fossil, petrifaction, fossilization;1
543;河川;かせん;rivers;1
544;化繊;かせん;synthetic fibres;1
545;過疎;かそ;depopulation;1
546;過多;かた;excess, superabundance;1
547;難い;かたい;difficult, hard;1
548;片思い;かたおもい;unrequited love;1
549;敵;かたき;enemy, rival;1
550;気質;かたぎ;spirit, character, trait, temperament, disposition;1
551;片言;かたこと;a smattering, talk like a baby, speak haltingly;1
552;片付け;かたづけ;tidying up, finishing;1
553;傾く;かたぶく;to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to, to;1
